Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
1057,211.6,7.90014E-001,2.87021E-010,0.00000E+000,7.90000E-001,8.00223E-005,4,..........., 0.01
1058,211.8,7.80014E-001,1.89017E-010,0.00000E+000,7.80000E-001,8.00223E-005,4,..........., 0.01
1059,212,7.69814E-001,1.17014E-010,0.00000E+000,7.70000E-001,8.00223E-005,4,..........., 0.01
1060,212.2,7.60214E-001,7.30126E-011,0.00000E+000,7.60000E-001,8.00223E-005,4,..........., 0.01
1061,212.4,7.50014E-001,4.10114E-011,0.00000E+000,7.50000E-001,8.00223E-005,4,..........., 0.01
1062,212.6,7.40214E-001,1.50104E-011,0.00000E+000,7.40000E-001,8.00223E-005,4,..........., 0.01
1063,212.8,7.29814E-001,-9.90239E-013,0.00000E+000,7.30000E-001,8.00223E-005,4,..........., 0.01
1064,213,7.19814E-001,-1.69909E-011,0.00000E+000,7.20000E-001,8.00223E-005,4,..........., 0.01
1065,213.2,7.10014E-001,-3.49915E-011,0.00000E+000,7.10000E-001,8.00223E-005,4,..........., 0.01
1066,213.4,7.00014E-001,-3.49915E-011,0.00000E+000,7.00000E-001,-2.19978E-004,4,..........., 0.01
1067,213.6,6.90214E-001,-3.89917E-011,0.00000E+000,6.90000E-001,8.00223E-005,4,..........., 0.01
1068,213.8,6.80014E-001,-4.29919E-011,0.00000E+000,6.80000E-001,-2.19978E-004,4,..........., 0.01
1069,214,6.70014E-001,-4.69920E-011,0.00000E+000,6.70000E-001,8.00223E-005,4,..........., 0.01
1070,214.2,6.60014E-001,-5.49923E-011,0.00000E+000,6.60000E-001,8.00223E-005,4,..........., 0.01
1071,214.4,6.49814E-001,-5.49923E-011,0.00000E+000,6.50000E-001,8.00223E-005,4,..........., 0.01
1072,214.6,6.40214E-001,-5.49923E-011,0.00000E+000,6.40000E-001,8.00223E-005,4,..........., 0.01
1073,214.8,6.30014E-001,-5.49923E-011,0.00000E+000,6.30000E-001,8.00223E-005,4,..........., 0.01
1074,215,6.20014E-001,-5.89925E-011,0.00000E+000,6.20000E-001,8.00223E-005,4,..........., 0.01
1075,215.2,6.10214E-001,-5.69924E-011,0.00000E+000,6.10000E-001,8.00223E-005,4,..........., 0.01
1076,215.4,6.00214E-001,-5.49923E-011,0.00000E+000,6.00000E-001,8.00223E-005,4,..........., 0.01
1077,215.6,5.90014E-001,-6.09925E-011,0.00000E+000,5.90000E-001,8.00223E-005,4,..........., 0.01
1078,215.8,5.80014E-001,-6.29926E-011,0.00000E+000,5.80000E-001,8.00223E-005,4,..........., 0.01
1079,216,5.70014E-001,-6.09925E-011,0.00000E+000,5.70000E-001,-3.19978E-004,4,..........., 0.01
1080,216.2,5.59914E-001,-6.29926E-011,0.00000E+000,5.60000E-001,8.00223E-005,4,..........., 0.01
1081,216.4,5.49814E-001,-6.49927E-011,0.00000E+000,5.50000E-001,8.00223E-005,4,..........., 0.01
1082,216.6,5.40014E-001,-6.69928E-011,0.00000E+000,5.40000E-001,8.00223E-005,4,..........., 0.01
1083,216.8,5.29814E-001,-6.49927E-011,0.00000E+000,5.30000E-001,8.00223E-005,4,..........., 0.01
1084,217,5.19814E-001,-6.69928E-011,0.00000E+000,5.20000E-001,8.00223E-005,4,..........., 0.01
1085,217.2,5.10014E-001,-6.69928E-011,0.00000E+000,5.10000E-001,8.00223E-005,4,..........., 0.01
1086,217.4,5.00214E-001,-7.09929E-011,0.00000E+000,5.00000E-001,8.00223E-005,4,..........., 0.01
1087,217.6,4.90014E-001,-7.29930E-011,0.00000E+000,4.90000E-001,8.00223E-005,4,..........., 0.01
1088,217.8,4.80014E-001,-7.09929E-011,0.00000E+000,4.80000E-001,8.00223E-005,4,..........., 0.01
1089,218,4.70014E-001,-7.09929E-011,0.00000E+000,4.70000E-001,-3.19978E-004,4,..........., 0.01
1090,218.2,4.60014E-001,-7.29930E-011,0.00000E+000,4.60000E-001,8.00223E-005,4,..........., 0.01
1091,218.4,4.49814E-001,-7.89932E-011,0.00000E+000,4.50000E-001,8.00223E-005,4,..........., 0.01
1092,218.6,4.40014E-001,-7.89932E-011,0.00000E+000,4.40000E-001,8.00223E-005,4,..........., 0.01
1093,218.8,4.30014E-001,-8.29934E-011,0.00000E+000,4.30000E-001,8.00223E-005,4,..........., 0.01
1094,219,4.20214E-001,-8.29934E-011,0.00000E+000,4.20000E-001,8.00223E-005,4,..........., 0.01
1095,219.2,4.10214E-001,-8.69935E-011,0.00000E+000,4.10000E-001,8.00223E-005,4,..........., 0.01
1096,219.4,4.00214E-001,-8.89936E-011,0.00000E+000,4.00000E-001,8.00223E-005,4,..........., 0.01
1097,219.6,3.90014E-001,-9.09937E-011,0.00000E+000,3.90000E-001,8.00223E-005,4,..........., 0.01
1098,219.8,3.80014E-001,-9.29938E-011,0.00000E+000,3.80000E-001,8.00223E-005,4,..........., 0.01
1099,220,3.70214E-001,-9.49938E-011,0.00000E+000,3.70000E-001,-3.19978E-004,4,..........., 0.01
1100,220.2,3.60214E-001,-9.69939E-011,0.00000E+000,3.60000E-001,8.00223E-005,4,..........., 0.01
1101,220.4,3.50014E-001,-9.89940E-011,0.00000E+000,3.50000E-001,-2.19978E-004,4,..........., 0.01
1102,220.6,3.40014E-001,-9.49938E-011,0.00000E+000,3.40000E-001,-1.19978E-004,4,..........., 0.01
1103,220.8,3.30214E-001,-1.02994E-010,0.00000E+000,3.30000E-001,8.00223E-005,4,..........., 0.01
1104,221,3.20214E-001,-1.04994E-010,0.00000E+000,3.20000E-001,8.00223E-005,4,..........., 0.01
1105,221.2,3.09814E-001,-1.10994E-010,0.00000E+000,3.10000E-001,-3.19978E-004,4,..........., 0.01
1106,221.4,3.00014E-001,-1.08994E-010,0.00000E+000,3.00000E-001,8.00223E-005,4,..........., 0.01
1107,221.6,2.90214E-001,-1.10994E-010,0.00000E+000,2.90000E-001,8.00223E-005,4,..........., 0.01
1108,221.8,2.80014E-001,-1.14995E-010,0.00000E+000,2.80000E-001,8.00223E-005,4,..........., 0.01
1109,222,2.70414E-001,-1.18995E-010,0.00000E+000,2.70000E-001,8.00223E-005,4,..........., 0.01
1110,222.2,2.59914E-001,-1.22995E-010,0.00000E+000,2.60000E-001,8.00223E-005,4,..........., 0.01
1111,222.4,2.50414E-001,-1.20995E-010,0.00000E+000,2.50000E-001,8.00223E-005,4,..........., 0.01
1112,222.6,2.39814E-001,-1.30995E-010,0.00000E+000,2.40000E-001,8.00223E-005,4,..........., 0.01
1113,222.8,2.29614E-001,-1.22995E-010,0.00000E+000,2.30000E-001,8.00223E-005,4,..........., 0.01
1114,223,2.20014E-001,-1.30995E-010,0.00000E+000,2.20000E-001,8.00223E-005,4,..........., 0.01
1115,223.2,2.10014E-001,-1.30995E-010,0.00000E+000,2.10000E-001,8.00223E-005,4,..........., 0.01
1116,223.4,2.00214E-001,-1.36995E-010,0.00000E+000,2.00000E-001,8.00223E-005,4,..........., 0.01
1117,223.6,1.90014E-001,-1.34995E-010,0.00000E+000,1.90000E-001,8.00223E-005,4,..........., 0.01
1118,223.8,1.80014E-001,-1.42996E-010,0.00000E+000,1.80000E-001,8.00223E-005,4,..........., 0.01
1119,224,1.70214E-001,-1.44996E-010,0.00000E+000,1.70000E-001,8.00223E-005,4,..........., 0.01
1120,224.2,1.60214E-001,-1.44996E-010,0.00000E+000,1.60000E-001,-2.19978E-004,4,..........., 0.01
