Pt,T,Vf,Vm,Ach,Over,Temp
0,0.258333,1.64689E-001,1.64689E-001,2.58459E-004,..........a,-327.66
1,0.516667,1.64698E-001,1.65145E-001,2.52792E-004,..........a,-327.66
2,0.775,1.64752E-001,1.65608E-001,2.69259E-004,..........a,-327.66
3,1.03333,1.64907E-001,1.66042E-001,2.71726E-004,..........a,-327.66
4,1.29167,1.65186E-001,1.66458E-001,2.52059E-004,..........a,-327.66
5,1.55,1.65562E-001,1.66872E-001,2.65192E-004,..........a,-327.66
6,1.80833,1.65982E-001,1.67260E-001,2.46592E-004,..........a,-327.66
7,2.06667,1.66408E-001,1.67658E-001,2.47926E-004,..........a,-327.66
8,2.325,1.66828E-001,1.68254E-001,2.64259E-004,..........a,-327.66
9,2.58333,1.67252E-001,1.68553E-001,2.59726E-004,..........a,-327.66
10,2.84167,1.67683E-001,1.68885E-001,2.65726E-004,..........a,-327.66
11,3.1,1.68106E-001,1.69219E-001,2.52392E-004,..........a,-327.66
12,3.35833,1.68498E-001,1.69556E-001,2.57726E-004,..........a,-327.66
13,3.61667,1.68858E-001,1.69894E-001,2.53126E-004,..........a,-327.66
14,3.875,1.69199E-001,1.70228E-001,2.54459E-004,..........a,-327.66
15,4.13333,1.69534E-001,1.70551E-001,2.52659E-004,..........a,-327.66
16,4.39167,1.69866E-001,1.70869E-001,2.67859E-004,..........a,-327.66
17,4.65,1.70196E-001,1.71179E-001,2.54726E-004,..........a,-327.66
18,4.90833,1.70521E-001,1.71495E-001,2.52592E-004,..........a,-327.66
19,5.16667,1.70840E-001,1.71800E-001,2.49126E-004,..........a,-327.66
20,5.425,1.71155E-001,1.72089E-001,2.52726E-004,..........a,-327.66
21,5.68333,1.71464E-001,1.72385E-001,2.54859E-004,..........a,-327.66
22,5.94167,1.71768E-001,1.72684E-001,2.59459E-004,..........a,-327.66
23,6.2,1.72067E-001,1.72968E-001,2.67526E-004,..........a,-327.66
24,6.45833,1.72363E-001,1.73257E-001,2.64392E-004,..........a,-327.66
25,6.71667,1.72655E-001,1.73546E-001,2.62259E-004,..........a,-327.66
26,6.975,1.72946E-001,1.73826E-001,2.51459E-004,..........a,-327.66
27,7.23333,1.73234E-001,1.74100E-001,2.54059E-004,..........a,-327.66
28,7.49167,1.73519E-001,1.74381E-001,2.58392E-004,..........a,-327.66
29,7.75,1.73801E-001,1.74656E-001,2.54592E-004,..........a,-327.66
30,8.00833,1.74080E-001,1.74923E-001,2.48326E-004,..........a,-327.66
31,8.26667,1.74357E-001,1.75200E-001,2.56459E-004,..........a,-327.66
32,8.525,1.74631E-001,1.75471E-001,2.65059E-004,..........a,-327.66
33,8.78333,1.74904E-001,1.75734E-001,2.65592E-004,..........a,-327.66
34,9.04167,1.75176E-001,1.75995E-001,2.49526E-004,..........a,-327.66
35,9.3,1.75445E-001,1.76261E-001,2.74192E-004,..........a,-327.66
36,9.5583,1.75711E-001,1.76520E-001,2.65859E-004,..........a,-327.66
37,9.8167,1.75976E-001,1.76793E-001,2.46192E-004,..........a,-327.66
38,10.075,1.76240E-001,1.77049E-001,2.55126E-004,..........a,-327.66
